request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&y=2022&s=AZ&y=2022&c-r-ot=O,s,AZ,AZ,y,2022,2022,c-r-ot,O,Other Statewide,47908,14437013.8
dt=1&y=2022&s=MI&y=2022&c-r-ot=H,s,MI,MI,y,2022,2022,c-r-ot,H,State House/Assembly,67289,14246521.7
dt=1&y=2022&s=OH&y=2022&c-r-ot=O,s,OH,OH,y,2022,2022,c-r-ot,O,Other Statewide,19524,13496260.27
dt=1&y=2022&s=MI&y=2022&c-r-ot=S,s,MI,MI,y,2022,2022,c-r-ot,S,State Senate,71006,13076314.73
dt=1&y=2022&s=HI&y=2022&c-r-ot=G,s,HI,HI,y,2022,2022,c-r-ot,G,Gubernatorial,8907,12766728.21
dt=1&y=2022&s=NC&y=2022&c-r-ot=H,s,NC,NC,y,2022,2022,c-r-ot,H,State House/Assembly,31164,12689897.99
dt=1&y=2022&s=NC&y=2022&c-r-ot=S,s,NC,NC,y,2022,2022,c-r-ot,S,State Senate,27211,12491233.33
dt=1&y=2022&s=GA&y=2022&c-r-ot=O,s,GA,GA,y,2022,2022,c-r-ot,O,Other Statewide,19371,12075292.12
dt=1&y=2022&s=CO&y=2022&c-r-ot=O,s,CO,CO,y,2022,2022,c-r-ot,O,Other Statewide,98540,11591759.2
dt=1&y=2022&s=MI&y=2022&c-r-ot=O,s,MI,MI,y,2022,2022,c-r-ot,O,Other Statewide,90502,11412424.64
dt=1&y=2022&s=MA&y=2022&c-r-ot=H,s,MA,MA,y,2022,2022,c-r-ot,H,State House/Assembly,57955,11393219.3
dt=1&y=2022&s=NM&y=2022&c-r-ot=H,s,NM,NM,y,2022,2022,c-r-ot,H,State House/Assembly,23671,11220955.12
dt=1&y=2022&s=MD&y=2022&c-r-ot=O,s,MD,MD,y,2022,2022,c-r-ot,O,Other Statewide,17724,11219976.51
dt=1&y=2022&s=OK&y=2022&c-r-ot=G,s,OK,OK,y,2022,2022,c-r-ot,G,Gubernatorial,26276,11044090.39
dt=1&y=2022&s=DC&y=2022&c-r-ot=C,s,DC,DC,y,2022,2022,c-r-ot,C,Local Elections,25049,10790434.9
dt=1&y=2022&s=KY&y=2022&c-r-ot=H,s,KY,KY,y,2022,2022,c-r-ot,H,State House/Assembly,20740,10627632.49
dt=1&y=2022&s=SD&y=2022&c-r-ot=G,s,SD,SD,y,2022,2022,c-r-ot,G,Gubernatorial,26823,10465953.0
dt=1&y=2022&s=OK&y=2022&c-r-ot=H,s,OK,OK,y,2022,2022,c-r-ot,H,State House/Assembly,17228,10151310.04
dt=1&y=2022&s=NE&y=2022&c-r-ot=G,s,NE,NE,y,2022,2022,c-r-ot,G,Gubernatorial,1820,9994181.32
dt=1&y=2022&s=NV&y=2022&c-r-ot=O,s,NV,NV,y,2022,2022,c-r-ot,O,Other Statewide,13268,9891482.42
dt=1&y=2022&s=IA&y=2022&c-r-ot=G,s,IA,IA,y,2022,2022,c-r-ot,G,Gubernatorial,34805,9158490.68
dt=1&y=2022&s=OK&y=2022&c-r-ot=O,s,OK,OK,y,2022,2022,c-r-ot,O,Other Statewide,9251,9146806.18
dt=1&y=2022&s=MN&y=2022&c-r-ot=G,s,MN,MN,y,2022,2022,c-r-ot,G,Gubernatorial,22074,8949603.88
dt=1&y=2022&s=FL&y=2022&c-r-ot=O,s,FL,FL,y,2022,2022,c-r-ot,O,Other Statewide,12583,8853906.7
dt=1&y=2022&s=NY&y=2022&c-r-ot=O,s,NY,NY,y,2022,2022,c-r-ot,O,Other Statewide,20606,8686086.4
